index,xw,yw,zw,xi,yi
1,4,0,0,845,950
2,4,0,2,843,882
3,6,0,0,793,950
4,6,0,2,793,883
5,8,0,0,740,953
6,8,0,2,742,885
7,10,0,0,688,952
8,10,0,2,688,885
9,12,0,0,630,954
10,12,0,2,632,887
11,14,0,0,574,957
12,14,0,2,574,886
13,16,0,0,514,960
14,16,0,2,515,888
15,18,0,0,452,960
16,18,0,2,454,887
17,4,0,4,845,816
18,4,0,6,844,750
19,6,0,4,795,814
20,6,0,6,795,746
21,8,0,4,742,815
22,8,0,6,742,745
23,10,0,4,688,813
24,10,0,6,689,744
25,12,0,4,632,812
26,12,0,6,632,741
27,14,0,4,573,810
28,14,0,6,575,740
29,16,0,4,514,811
30,16,0,6,515,738
31,18,0,4,454,810
32,18,0,6,454,735
33,4,0,8,846,682
34,4,0,10,845,615
35,6,0,8,795,678
36,6,0,10,796,611
37,8,0,8,743,677
38,8,0,10,743,607
39,10,0,8,689,673
40,10,0,10,690,604
41,12,0,8,633,671
42,12,0,10,634,599
43,14,0,8,575,666
44,14,0,10,575,595
45,16,0,8,515,664
46,16,0,10,515,591
47,18,0,8,456,658
48,18,0,10,456,586
49,4,0,12,848,548
50,4,0,14,846,483
51,6,0,12,796,543
52,6,0,14,796,476
53,8,0,12,743,538
54,8,0,14,742,470
55,10,0,12,690,534
56,10,0,14,689,463
57,12,0,12,635,528
58,12,0,14,633,457
59,14,0,12,577,522
60,14,0,14,576,450
61,16,0,12,518,518
62,16,0,14,517,444
63,18,0,12,457,511
64,18,0,14,456,436
65,0,4,0,1035,947
66,0,6,0,1079,948
67,0,6,2,1079,881
68,0,4,2,1035,882
69,0,8,0,1129,950
70,0,10,0,1183,951
71,0,10,2,1181,881
72,0,8,2,1131,881
73,0,12,0,1234,952
74,0,14,0,1289,955
75,0,14,2,1288,881
76,0,12,2,1235,881
77,0,16,0,1346,955
78,0,18,0,1403,957
79,0,18,2,1402,881
80,0,16,2,1346,882
81,0,4,4,1034,811
82,0,6,4,1080,810
83,0,6,6,1078,743
84,0,4,6,1031,745
85,0,8,4,1130,810
86,0,10,4,1181,809
87,0,10,6,1178,738
88,0,8,6,1129,741
89,0,12,4,1234,807
90,0,14,4,1288,807
91,0,14,6,1288,734
92,0,12,6,1234,736
93,0,16,4,1345,805
94,0,18,4,1403,804
95,0,18,6,1402,729
96,0,16,6,1345,731
97,0,4,8,1030,677
98,0,6,8,1079,674
99,0,6,10,1078,607
100,0,4,10,1029,610
101,0,8,8,1129,670
102,0,10,8,1178,668
103,0,10,10,1176,597
104,0,8,10,1129,602
105,0,12,8,1232,663
106,0,14,8,1287,660
107,0,14,10,1285,588
108,0,12,10,1230,592
109,0,16,8,1345,656
110,0,18,8,1401,653
111,0,18,10,1400,577
112,0,16,10,1342,582
113,0,4,12,1029,542
114,0,6,12,1079,539
115,0,6,14,1079,471
116,0,4,14,1030,478
117,0,8,12,1129,532
118,0,10,12,1178,527
119,0,10,14,1176,457
120,0,8,14,1127,465
121,0,12,12,1229,521
122,0,14,12,1284,515
123,0,14,14,1282,444
124,0,12,14,1229,450
125,0,16,12,1341,508
126,0,18,12,1400,502
127,0,18,14,1399,427
128,0,16,14,1341,435
